test_type	event_rate_multiplier	proportion_multiplier	nns	nnr	bias
High Sens/High Spec	1	1.4	30465	11276	0.059893160112719945
High Sens/High Spec	1	1.5	27747	10270	0.05661295243840511
High Sens/High Spec	1	1.6	25497	9437	0.053736561154155454
High Sens/High Spec	1	1.7000000000000002	23607	8737	0.051198605540247244
High Sens/High Spec	1	1.8	22000	8142	0.04894723950527849
High Sens/High Spec	1	1.9	20617	7631	0.04694082665701965
High Sens/High Spec	1	2	19416	7186	0.04514555002916526
High Sens/High Spec	1.1	1	45928	16999	0.0783789310923908
High Sens/High Spec	1.1	1.1	39474	14610	0.0724397306362965
High Sens/High Spec	1.1	1.2	34621	12814	0.06742499964528184
High Sens/High Spec	1.1	1.3	30852	11419	0.06314227686534155
High Sens/High Spec	1.1	1.4	27848	10307	0.059449315166566014
High Sens/High Spec	1.1	1.5	25404	9403	0.05623871440252465
High Sens/High Spec	1.1	1.6	23381	8654	0.053427873776534296
High Sens/High Spec	1.1	1.7000000000000002	21680	8024	0.05095223224888398
High Sens/High Spec	1.1	1.8	20233	7489	0.04876060641517668
High Sens/High Spec	1.1	1.9	18989	7028	0.04681190380539141
High Sens/High Spec	1.1	2	17909	6629	0.04507276034999991
High Sens/High Spec	1.2	1	42019	15552	0.07760547014674787
High Sens/High Spec	1.2	1.1	36195	13396	0.07176524809629017
High Sens/High Spec	1.2	1.2	31808	11773	0.06683939454688223
High Sens/High Spec	1.2	1.3	28397	10510	0.06263770591440226
High Sens/High Spec	1.2	1.4	25677	9503	0.059019631840073195
High Sens/High Spec	1.2	1.5	23461	8683	0.05587907575963963
High Sens/High Spec	1.2	1.6	21626	8004	0.053134458461053635
High Sens/High Spec	1.2	1.7000000000000002	20084	7434	0.050722034224409185
High Sens/High Spec	1.2	1.8	18772	6948	0.04859128152076983
High Sens/High Spec	1.2	1.9	17644	6530	0.04670165393828668
High Sens/High Spec	1.2	2	16665	6168	0.045020244967150486
High Sens/High Spec	1.3	1	38722	14331	0.07684649627325052
High Sens/High Spec	1.3	1.1	33430	12373	0.07110465798317278
High Sens/High Spec	1.3	1.2	29437	10895	0.06626740055399608
High Sens/High Spec	1.3	1.3	26328	9744	0.06214674859160779
High Sens/High Spec	1.3	1.4	23847	8826	0.05860382908185369
High Sens/High Spec	1.3	1.5	21826	8078	0.05553383705300122
High Sens/High Spec	1.3	1.6	20151	7458	0.05285620858086498
High Sens/High Spec	1.3	1.7000000000000002	18743	6937	0.050508011479994314
High Sens/High Spec	1.3	1.8	17546	6494	0.04843938801485445
