test_type	sensitivity	specificity	target_group	event_rate_multiplier	proportion_multiplier	nns_closed_form	nnr_closed_form	true_beta	predicted_beta	bias_closed_form
Near-Perfect	0.99	0.99	C	1.2	1.8	12987	4657	-0.23572233352106983	-0.22528445252351834	0.010437880997551496
Near-Perfect	0.99	0.99	C	1.2	1.9	12384	4441	-0.23572233352106983	-0.22579697468293392	0.009925358838135917
Near-Perfect	0.99	0.99	C	1.2	2	11847	4248	-0.23572233352106983	-0.2262547540664987	0.009467579454571134
Near-Perfect	0.99	0.99	C	1.3	1	20740	7437	-0.23572233352106983	-0.2199359416503288	0.015786391870741046
Near-Perfect	0.99	0.99	C	1.3	1.1	18888	6773	-0.23572233352106983	-0.22133875460446542	0.014383578916604411
Near-Perfect	0.99	0.99	C	1.3	1.2	17369	6228	-0.23572233352106983	-0.22251262071675085	0.013209712804318985
Near-Perfect	0.99	0.99	C	1.3	1.3	16102	5774	-0.23572233352106983	-0.2235077243175214	0.012214609203548443
Near-Perfect	0.99	0.99	C	1.3	1.4	15029	5389	-0.23572233352106983	-0.22436051517090008	0.01136181835016975
Near-Perfect	0.99	0.99	C	1.3	1.5	14111	5060	-0.23572233352106983	-0.2250981027413026	0.010624230779767235
Near-Perfect	0.99	0.99	C	1.3	1.6	13316	4775	-0.23572233352106983	-0.22574106458508647	0.009981268935983362
Near-Perfect	0.99	0.99	C	1.3	1.7000000000000002	12623	4526	-0.23572233352106983	-0.22630529869633983	0.009417034824729997
Near-Perfect	0.99	0.99	C	1.3	1.8	12014	4308	-0.23572233352106983	-0.2268032791105474	0.008919054410522431
Near-Perfect	0.99	0.99	C	1.3	1.9	11474	4114	-0.23572233352106983	-0.2272449276054965	0.008477405915573333
Near-Perfect	0.99	0.99	C	1.3	2	10994	3942	-0.23572233352106983	-0.22763823178497986	0.008084101736089977
Near-Perfect	0.99	0.99	C	1.4	1	19324	6929	-0.23572233352106983	-0.22066704441408425	0.015055289106985587
Near-Perfect	0.99	0.99	C	1.4	1.1	17619	6318	-0.23572233352106983	-0.22200756898084248	0.013714764540227353
Near-Perfect	0.99	0.99	C	1.4	1.2	16221	5816	-0.23572233352106983	-0.22312780613038524	0.01259452739068459
Near-Perfect	0.99	0.99	C	1.4	1.3	15054	5398	-0.23572233352106983	-0.22407609571812798	0.011646237802941856
Near-Perfect	0.99	0.99	C	1.4	1.4	14067	5044	-0.23572233352106983	-0.22488751722389835	0.010834816297171479
